category,item_count,order_count,gross_sales,avg_item_price,avg_items_per_order
Outerwear & Coats,2269,2219,337446.83995246887,148.72051121748331,1.0225326723749437
Jeans,3203,3085,307785.32048034668,96.092825626083922,1.0382495948136143
Sweaters,2821,2737,212668.77010726929,75.387724249297847,1.0306905370843991
Fashion Hoodies & Sweatshirts,3011,2923,164373.95008087158,54.5911491467524,1.0301060554225112
Swim,2822,2746,161946.45021915436,57.387119142152478,1.0276766205389658
Suits & Sport Coats,1268,1242,157962.509973526,124.57611196650318,1.0209339774557167
Sleep & Lounge,2782,2705,135614.63034343719,48.747171223377876,1.0284658040665435
Shorts,2815,2733,132179.76037693024,46.955509902994692,1.0300036589828028
Tops & Tees,3010,2915,125299.23045969009,41.627651315511535,1.032590051457976
Active,2304,2249,116848.10996985435,50.715325507749277,1.0244553134726546
Pants,1865,1805,112699.87039756775,60.428884931671689,1.0332409972299168
Intimates,3323,3110,109088.60015153885,32.828347924026183,1.0684887459807073
Dresses,1274,1249,106312.75025367737,83.447998629260141,1.0200160128102482
Accessories,2416,2366,105229.56991167367,43.55528555946767,1.0211327134404058
Blazers & Jackets,734,727,67128.31013250351,91.4554633957814,1.0096286107290233
Maternity,1192,1171,61800.9998421669,51.84647637765687,1.017933390264731
Underwear,1903,1825,52550.760068416595,27.61469262659832,1.0427397260273972
Pants & Capris,839,823,47006.740212440491,56.02710394808166,1.0194410692588092
Plus,1043,1020,42333.650101542473,40.588351008190315,1.0225490196078431
Socks,1607,1562,34111.1400179863,21.22659615307175,1.0288092189500639
Suits,285,285,33360.900096893311,117.05578981366077,1.0
Skirts,519,516,29135.870055198669,56.138477948359636,1.0058139534883721
Leggings,765,753,20369.019968509674,26.626169893476678,1.0159362549800797
Socks & Hosiery,889,874,14724.659957885742,16.563172056114443,1.0171624713958809
Jumpsuits & Rompers,236,235,9486.6500444412231,40.197669679835684,1.0042553191489361
Clothing Sets,50,50,4190.0999965667725,83.801999931335445,1.0
